Rank,Player Name,Team,Salary_USD,Season
1,Kahleah Copper,PHX,241984,2024-25
2,Jewell Loyd,SEA,241984,2024-25
3,Arike Ogunbowale,DAL,241984,2024-25
4,Diana Taurasi,PHX,234936,2024-25
5,Natasha Howard,DAL,234350,2024-25
6,Alyssa Thomas,CON,218000,2024-25
7,Azurá Stevens,LA,215000,2024-25
8,Brionna Jones,CON,212000,2024-25
9,Kelsey Mitchell,IND,212000,2024-25
10,Napheesa Collier,MIN,208219,2024-25
11,Skylar Diggins-Smith,SEA,208219,2024-25
12,Marina Mabrey,CON,208000,2024-25
13,Kayla McBride,MIN,208000,2024-25
14,Nneka Ogwumike,SEA,204500,2024-25
15,Erica Wheeler,IND,202154,2024-25
16,Sabrina Ionescu,NY,202000,2024-25
17,Ariel Atkins,CHI,200000,2024-25
18,DeWanna Bonner,CON,200000,2024-25
19,Natasha Cloud,PHX,200000,2024-25
20,Cheyenne Parker,ATL,200000,2024-25
21,A'ja Wilson,LV,200000,2024-25
22,Chelsea Gray,LV,196267,2024-25
23,Teaira McCowan,DAL,195700,2024-25
24,Satou Sabally,DAL,195000,2024-25
25,Courtney Vandersloot,NY,194670,2024-25
26,Sophie Cunningham,PHX,189500,2024-25
27,Dearica Hamby,LA,189000,2024-25
28,Jordin Canada,ATL,185000,2024-25
29,Stefanie Dolson,WAS,185000,2024-25
30,Allisha Gray,ATL,185000,2024-25
31,Myisha Hines-Allen,MIN,180200,2024-25
32,Betnijah Laney,NY,180000,2024-25
33,Katie Lou Samuelson,IND,175000,2024-25
34,Courtney Williams,MIN,175000,2024-25
35,Jackie Young,LV,169950,2024-25
36,Elizabeth Williams,CHI,165000,2024-25
37,Rebecca Allen,PHX,160000,2024-25
38,Mercedes Russell,SEA,160000,2024-25
39,Ezi Magbegor,SEA,155000,2024-25
40,Nia Coffey,ATL,150000,2024-25
41,Brittney Griner,PHX,150000,2024-25
42,Alanna Smith,MIN,150000,2024-25
43,Brianna Turner,CHI,150000,2024-25
44,Moriah Jefferson,CHI,141500,2024-25
45,Sami Whitcomb,SEA,140000,2024-25
46,Tina Charles,ATL,130000,2024-25
47,Kalani Brown,DAL,125000,2024-25
48,Rae Burrell,LA,125000,2024-25
49,Bridget Carleton,MIN,125000,2024-25
50,Astou Ndour,CON,125000,2024-25
51,Karlie Samuelson,WAS,125000,2024-25
52,Natisha Hiedeman,MIN,120000,2024-25
53,Alysha Clark,LV,110000,2024-25
54,Kayla Thornton,NY,110000,2024-25
55,Layshia Clarendon,LA,100000,2024-25
56,Diamond DeShields,CHI,100000,2024-25
57,Kiah Stokes,LV,100000,2024-25
58,Shatori Walker-Kimbrough,WAS,97850,2024-25
59,Damiris Dantas,IND,97100,2024-25
60,Tyasha Harris,CON,97100,2024-25
61,Rachel Banham,CHI,95000,2024-25
62,Megan Gustafson,LV,94000,2024-25
63,Lindsay Allen,CHI,90000,2024-25
64,Aari McDonald,LA,89302,2024-25
65,Tiffany Hayes,LV,88000,2024-25
66,Michaela Onyenwere,CHI,85690,2024-25
67,Shakira Austin,WAS,80943,2024-25
68,Rhyne Howard,ATL,80943,2024-25
69,NaLyssa Smith,IND,80943,2024-25
70,Lexie Brown,LA,80340,2024-25
71,DiJonai Carrington,CON,78469,2024-25
72,Dana Evans,CHI,78469,2024-25
73,Lexie Hull,IND,77669,2024-25
74,Cameron Brink,LA,76535,2024-25
75,Kennedy Burke,NY,76535,2024-25
76,Kamilla Cardoso,CHI,76535,2024-25
77,Caitlin Clark,IND,76535,2024-25
78,Sydney Colson,LV,76535,2024-25
79,Rickea Jackson,LA,76535,2024-25
80,Stephanie Soares,DAL,76535,2024-25
81,Aliyah Boston,IND,75792,2024-25
82,Diamond Miller,MIN,75792,2024-25
83,Maddy Siegrist,DAL,75792,2024-25
84,Kierstan Bell,LV,74398,2024-25
85,Aaliyah Edwards,WAS,73439,2024-25
86,Alissa Pili,MIN,73439,2024-25
87,Angel Reese,CHI,73439,2024-25
88,Jacy Sheldon,DAL,73439,2024-25
89,Laeticia Amihere,ATL,72727,2024-25
90,Grace Berger,IND,72727,2024-25
91,Haley Jones,ATL,72727,2024-25
92,Lou Lopez-Senechal,DAL,72727,2024-25
93,Nyara Sabally,NY,72727,2024-25
94,Naz Hillmon,ATL,71124,2024-25
95,Olivia Nelson-Ododa,CON,71124,2024-25
96,Kristy Wallace,IND,71124,2024-25
97,Marquesha Davis,NY,70344,2024-25
98,Zia Cooke,LA,69663,2024-25
99,Jordan Horston,SEA,69663,2024-25
100,Leonie Fiebich,NY,67249,2024-25
101,Kate Martin,LV,67249,2024-25
102,Dorka Juhasz,MIN,66597,2024-25
103,Li Yueru,LA,64767,2024-25
104,Jaelyn Brown,DAL,64154,2024-25
105,Emily Engstler,WAS,64154,2024-25
106,Sika Koné,WAS,64154,2024-25
107,Natasha Mack,PHX,64154,2024-25
108,Jade Melbourne,WAS,64154,2024-25
109,Victaria Saxton,IND,64154,2024-25
110,Sug Sutton,WAS,64154,2024-25
111,Sevgi Uzun,DAL,64154,2024-25
112,Julie Vanloo,WAS,64154,2024-25
113,Cecilia Zandalasini,MIN,64154,2024-25
114,Joyner Holmes,SEA,61380,2024-25
115,Veronica Burton,CON,50180,2024-25
116,Charisma Osborne,PHX,45098,2024-25
117,Monique Billings,PHX,18950,2024-25
118,Jaylyn Sherrod,NY,17145,2024-25
119,Caitlin Bickle,CON,12700,2024-25
120,Celeste Taylor,CON,8658,2024-25
121,Odyssey Sims,LA,8335,2024-25
122,Crystal Dangerfield,LA,5304,2024-25
123,Queen Egbo,LV,1905,2024-25
124,Kaela Davis,CHI,1516,2024-25
125,Ezinne Kalu,ATL,1270,2024-25
126,Amy Atwell,PHX,635,2024-25
127,Olivia Epoupa,MIN,635,2024-25
